Date,Adj Close
2000-01-04,11098.2119140625
2000-01-05,12320.8955078125
2000-01-06,10910.107421875
2000-01-07,11286.31640625
2000-01-10,11051.185546875
2000-01-11,11098.2119140625
2000-01-12,10439.8427734375
2000-01-13,10769.0263671875
2000-01-14,10486.869140625
2000-01-17,10110.658203125
2000-01-18,9593.3701171875
2000-01-19,8652.8427734375
2000-01-20,8079.12109375
2000-01-21,8182.57861328125
2000-01-24,8088.5263671875
2000-01-25,7806.369140625
2000-01-26,8041.50048828125
2000-01-27,8887.9736328125
2000-01-28,8784.515625
2000-01-31,8935.0009765625
2000-02-01,9969.5791015625
2000-02-02,10110.658203125
2000-02-03,9875.5283203125
2000-02-04,9875.5283203125
2000-02-07,9875.5283203125
2000-02-08,9969.5791015625
2000-02-09,9546.3447265625
2000-02-10,8756.2998046875
2000-02-11,8436.521484375
2000-02-14,8097.931640625
2000-02-15,8097.931640625
2000-02-16,8304.84765625
2000-02-17,8587.005859375
2000-02-18,8154.36279296875
2000-02-21,7665.28955078125
2000-02-22,7430.15869140625
2000-02-23,8182.57861328125
2000-02-24,7571.2373046875
2000-02-25,7543.02099609375
2000-02-28,7242.05224609375
2000-02-29,7289.07958984375
2000-03-01,7289.07958984375
2000-03-02,7712.31689453125
2000-03-03,7448.9697265625
2000-03-06,8041.50048828125
2000-03-07,8239.009765625
2000-03-08,8088.5263671875
2000-03-09,8276.6328125
2000-03-10,8041.50048828125
2000-03-13,7796.9638671875
2000-03-14,7590.04833984375
2000-03-15,7524.21142578125
2000-03-16,7900.4208984375
2000-03-17,8088.5263671875
2000-03-20,8050.9052734375
2000-03-21,8276.6328125
2000-03-22,9029.0546875
2000-03-23,8690.4638671875
2000-03-24,9094.8896484375
2000-03-27,9687.4208984375
2000-03-28,9499.31640625
2000-03-29,10627.94921875
2000-03-30,10627.94921875
2000-03-31,9875.5283203125
2000-04-03,10063.6337890625
2000-04-04,10298.763671875
2000-04-05,10298.763671875
2000-04-06,9828.5009765625
2000-04-07,10157.6845703125
2000-04-10,11004.1591796875
2000-04-11,10345.7890625
2000-04-12,10816.0537109375
2000-04-13,10816.0537109375
2000-04-14,10863.080078125
2000-04-17,9405.2646484375
2000-04-18,9828.5009765625
2000-04-19,9969.5791015625
2000-04-20,10063.6337890625
2000-04-21,10439.8427734375
2000-04-24,10110.658203125
2000-04-25,10157.6845703125
2000-04-26,9687.4208984375
2000-04-27,9395.8583984375
2000-04-28,9593.3701171875
2000-05-01,9593.3701171875
2000-05-02,9386.453125
2000-05-03,9217.1591796875
2000-05-04,9000.837890625
2000-05-05,9000.837890625
2000-05-08,8840.9462890625
2000-05-09,8840.9462890625
2000-05-10,8163.76806640625
2000-05-11,8163.76806640625
2000-05-12,7637.07421875
2000-05-15,6630.71142578125
2000-05-16,6677.73681640625
2000-05-17,5925.3154296875
2000-05-18,5643.158203125
2000-05-19,5661.96923828125
2000-05-22,5191.70556640625
2000-05-23,5266.947265625
2000-05-24,5774.83203125
2000-05-25,6640.11572265625
