,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
1987-02-04,,1.4126843214035034,0.5891019701957703,6.079751968383789,,3.254530906677246,1.3125,16.140625,,3.254530906677246,1.326388955116272,16.1875,,3.0861940383911133,1.3125,15.9375,,3.107235908508301,1.326388955116272,16.125,,16985487,120600,2799200
1987-02-05,,1.4431312084197998,0.5891019701957703,6.073864936828613,,3.324671983718872,1.3125,16.125,,3.3527278900146484,1.3125,16.25,,3.254530906677246,1.2777780294418335,16.0,,3.289602041244507,1.3125,16.234375,,15206921,113400,3535200
1987-02-06,,1.4309529066085815,0.5891019701957703,6.073864936828613,,3.2966160774230957,1.3125,16.125,,3.3527278900146484,1.319443941116333,16.21875,,3.254530906677246,1.3125,16.0625,,3.317657947540283,1.3125,16.0625,,6985952,153000,1961600
1987-02-09,,1.4218190908432007,0.5953361988067627,6.138603687286377,,3.275573968887329,1.326388955116272,16.296875,,3.2966160774230957,1.326388955116272,16.296875,,3.2405030727386475,1.326388955116272,16.078125,,3.282588005065918,1.326388955116272,16.125,,4565819,19800,2513600
1987-02-10,,1.3974618911743164,0.6046864986419678,6.103287220001221,,3.219460964202881,1.3472219705581665,16.203125,,3.289602041244507,1.3472219705581665,16.359375,,3.1282780170440674,1.326388955116272,16.0,,3.282588005065918,1.326388955116272,16.25,,7435049,46800,3477600
1987-02-11,,1.418773889541626,0.6015698313713074,6.168033599853516,,3.2685599327087402,1.3402780294418335,16.375,,3.2685599327087402,1.3472219705581665,16.5,,3.212446928024292,1.3402780294418335,16.140625,,3.219460964202881,1.3472219705581665,16.171875,,6217854,39600,2304000
1987-02-12,,1.4065958261489868,0.6140377521514893,6.1798014640808105,,3.2405030727386475,1.368056058883667,16.40625,,3.3106439113616943,1.368056058883667,17.375,,3.1703619956970215,1.3333330154418945,16.09375,,3.282588005065918,1.3402780294418335,16.375,,8249483,178200,5428800
1987-02-13,,1.4431312084197998,0.6078038811683655,6.126832008361816,,3.324671983718872,1.3541669845581055,16.265625,,3.3527278900146484,1.3541669845581055,16.5,,3.205432891845703,1.3541669845581055,16.203125,,3.2405030727386475,1.3541669845581055,16.40625,,10541303,72000,2460000
1987-02-17,,1.4948889017105103,0.6078038811683655,6.215115547180176,,3.443911075592041,1.3541669845581055,16.5,,3.4509260654449463,1.3541669845581055,16.59375,,3.331686019897461,1.3402780294418335,16.328125,,3.3527278900146484,1.3541669845581055,16.5,,11414547,43200,5120000
1987-02-18,,1.5009785890579224,0.6046864986419678,6.250426292419434,,3.457940101623535,1.3472219705581665,16.59375,,3.514051914215088,1.3472219705581665,16.65625,,3.4298830032348633,1.3402780294418335,16.4375,,3.507038116455078,1.3472219705581665,16.625,,10379129,39600,6594400
1987-02-19,,1.4918441772460938,0.6046864986419678,6.256314754486084,,3.436897039413452,1.3472219705581665,16.609375,,3.471967935562134,1.3472219705581665,16.671875,,3.4158549308776855,1.3472219705581665,16.53125,,3.471967935562134,1.3472219705581665,16.59375,,6344385,52200,3436800
1987-02-20,,1.4857549667358398,0.6109205484390259,6.144485950469971,,3.4228689670562744,1.361111044883728,16.3125,,3.457940101623535,1.361111044883728,16.640625,,3.4228689670562744,1.3472219705581665,16.3125,,3.443911075592041,1.3472219705581665,16.625,,8417003,63000,4262400
1987-02-23,,1.4370418787002563,0.6046864986419678,6.010756015777588,,3.3106439113616943,1.3472219705581665,15.84375,,3.4228689670562744,1.361111044883728,16.390625,,3.2966160774230957,1.3472219705581665,15.625,,3.4228689670562744,1.361111044883728,16.3125,,14513672,14400,4728800
1987-02-24,,1.4735757112503052,0.6109205484390259,6.022615432739258,,3.394813060760498,1.361111044883728,15.875,,3.4228689670562744,1.361111044883728,16.03125,,3.324671983718872,1.361111044883728,15.828125,,3.324671983718872,1.361111044883728,15.875,,9992406,18000,2237600
1987-02-25,,1.5070669651031494,0.6046864986419678,6.046325206756592,,3.471967935562134,1.3472219705581665,15.9375,,3.4789819717407227,1.361111044883728,16.21875,,3.387799024581909,1.3472219705581665,15.84375,,3.394813060760498,1.361111044883728,16.03125,,8420567,192600,1789600
1987-02-26,,1.4948889017105103,0.6109205484390259,6.0048298835754395,,3.443911075592041,1.361111044883728,15.828125,,3.4930100440979004,1.361111044883728,16.03125,,3.4228689670562744,1.3402780294418335,15.828125,,3.4789819717407227,1.3472219705581665,15.96875,,6932488,257400,1849600
1987-02-27,,1.4674873352050781,0.6171542406082153,6.046325206756592,,3.3807849884033203,1.375,15.9375,,3.471967935562134,1.375,15.96875,,3.33870005607605,1.368056058883667,15.8125,,3.457940101623535,1.368056058883667,15.875,,9762511,7200,1526400
1987-03-02,,1.4735757112503052,0.6358564496040344,6.028541088104248,,3.394813060760498,1.4166669845581055,15.890625,,3.436897039413452,1.4166669845581055,16.09375,,3.33870005607605,1.388888955116272,15.890625,,3.394813060760498,1.388888955116272,15.96875,,6519034,131400,2917600
1987-03-03,,1.4918441772460938,0.6327389478683472,6.010756015777588,,3.436897039413452,1.4097219705581665,15.84375,,3.4509260654449463,1.4097219705581665,15.921875,,3.394813060760498,1.4097219705581665,15.8125,,3.4088408946990967,1.4097219705581665,15.90625,,5508566,19800,1490400
1987-03-04,,1.5101113319396973,0.6483234763145447,6.016685485839844,,3.4789819717407227,1.444443941116333,15.859375,,3.5000240802764893,1.444443941116333,16.03125,,3.4298830032348633,1.423611044883728,15.84375,,3.457940101623535,1.423611044883728,15.890625,,8511456,426600,3701600
1987-03-05,,1.5314236879348755,0.6483234763145447,6.046325206756592,,3.5280799865722656,1.444443941116333,15.9375,,3.5561370849609375,1.444443941116333,16.0625,,3.4930100440979004,1.444443941116333,15.890625,,3.507038116455078,1.444443941116333,15.9375,,7566927,5400,3836000
1987-03-06,,1.5192450284957886,0.6483234763145447,6.016685485839844,,3.5000240802764893,1.444443941116333,15.859375,,3.5280799865722656,1.444443941116333,16.0,,3.4859960079193115,1.444443941116333,15.78125,,3.5210659503936768,1.444443941116333,16.0,,6025384,129600,4113600
1987-03-09,,1.4887990951538086,0.6545580625534058,5.93962287902832,,3.4298830032348633,1.4583330154418945,15.65625,,3.4859960079193115,1.486111044883728,15.84375,,3.4088408946990967,1.4583330154418945,15.640625,,3.464953899383545,1.4583330154418945,15.828125,,5269760,149400,2873600
1987-03-10,,1.5070669651031494,0.6607915163040161,5.945555210113525,,3.471967935562134,1.4722219705581665,15.671875,,3.4789819717407227,1.4722219705581665,15.765625,,3.4298830032348633,1.4583330154418945,15.578125,,3.436897039413452,1.4583330154418945,15.640625,,6606358,30600,3114400
1987-03-11,,1.5192450284957886,0.6794934272766113,5.9159159660339355,,3.5000240802764893,1.513888955116272,15.59375,,3.5210659503936768,1.5277780294418335,15.75,,3.457940101623535,1.4652780294418335,15.59375,,3.507038116455078,1.4722219705581665,15.734375,,5488962,64800,3126400
1987-03-12,,1.5192450284957886,0.6732595562934875,5.898129940032959,,3.5000240802764893,1.5,15.546875,,3.5280799865722656,1.506943941116333,15.984375,,3.464953899383545,1.5,15.546875,,3.507038116455078,1.506943941116333,15.59375,,5515694,255600,4908000
1987-03-13,,1.5009785890579224,0.6701424717903137,5.892200946807861,,3.457940101623535,1.493056058883667,15.53125,,3.5000240802764893,1.513888955116272,15.609375,,3.443911075592041,1.493056058883667,15.5,,3.464953899383545,1.5,15.609375,,4013358,149400,2512000
1987-03-16,,1.464442253112793,0.6639090180397034,5.856636047363281,,3.3737709522247314,1.4791669845581055,15.4375,,3.4228689670562744,1.5,15.546875,,3.3457140922546387,1.4791669845581055,15.3125,,3.4228689670562744,1.493056058883667,15.5,,5100458,129600,2668000
1987-03-17,,1.4918441772460938,0.6701424717903137,5.981119632720947,,3.436897039413452,1.493056058883667,15.765625,,3.436897039413452,1.493056058883667,15.8125,,3.3527278900146484,1.4791669845581055,15.390625,,3.3667569160461426,1.4791669845581055,15.4375,,6438838,250200,2354400
1987-03-18,,1.5070669651031494,0.676376223564148,5.963336944580078,,3.471967935562134,1.506943941116333,15.71875,,3.5000240802764893,1.506943941116333,15.90625,,3.436897039413452,1.506943941116333,15.4375,,3.443911075592041,1.506943941116333,15.859375,,5063033,37800,3558400
1987-03-19,,1.5314236879348755,0.6732595562934875,6.081888198852539,,3.5280799865722656,1.5,16.03125,,3.5491230487823486,1.506943941116333,16.140625,,3.4930100440979004,1.5,15.6875,,3.507038116455078,1.506943941116333,15.703125,,10407643,189000,2908800
1987-03-20,,1.5557806491851807,0.6732595562934875,6.247867584228516,,3.584192991256714,1.5,16.46875,,3.5912070274353027,1.506943941116333,16.46875,,3.5421090126037598,1.5,15.984375,,3.5491230487823486,1.5,16.171875,,11314747,136800,4678400
1987-03-23,,1.6075379848480225,0.6732595562934875,6.319002628326416,,3.703432083129883,1.5,16.65625,,3.7385029792785645,1.506943941116333,16.6875,,3.577178955078125,1.5,16.375,,3.5912070274353027,1.5,16.4375,,10236558,70200,3938400
1987-03-24,,1.6288504600524902,0.6732595562934875,6.301220893859863,,3.752531051635742,1.5,16.609375,,3.759545087814331,1.506943941116333,16.734375,,3.689404010772705,1.5,16.53125,,3.689404010772705,1.5,16.6875,,12227198,147600,2948800
1987-03-25,,1.601448893547058,0.6701424717903137,6.247867584228516,,3.689404010772705,1.493056058883667,16.46875,,3.7455170154571533,1.493056058883667,16.65625,,3.6683619022369385,1.493056058883667,16.4375,,3.7385029792785645,1.493056058883667,16.5625,,9418560,30600,2608800
1987-03-26,,1.5831809043884277,0.6732595562934875,6.295288562774658,,3.647320032119751,1.5,16.59375,,3.7314889430999756,1.5,16.71875,,3.647320032119751,1.5,16.515625,,3.7314889430999756,1.5,16.53125,,8358193,109800,2245600
1987-03-27,,1.5009785890579224,0.6576753258705139,6.289360046386719,,3.457940101623535,1.4652780294418335,16.578125,,3.6683619022369385,1.5,16.8125,,3.457940101623535,1.4652780294418335,16.53125,,3.6613481044769287,1.5,16.75,,11448407,637200,3179200
1987-03-30,,1.4705324172973633,0.6358564496040344,6.111530780792236,,3.387799024581909,1.4166669845581055,16.109375,,3.4509260654449463,1.444443941116333,16.3125,,3.2475171089172363,1.4166669845581055,16.015625,,3.254530906677246,1.444443941116333,16.015625,,15171278,27000,4715200
1987-03-31,,1.4674873352050781,0.6358564496040344,6.135240077972412,,3.3807849884033203,1.4166669845581055,16.171875,,3.4088408946990967,1.4166669845581055,16.28125,,3.359743118286133,1.4097219705581665,16.078125,,3.3737709522247314,1.4166669845581055,16.265625,,14383576,81000,2939200
1987-04-01,,1.5344679355621338,0.6233885884284973,6.135240077972412,,3.5350940227508545,1.388888955116272,16.171875,,3.5350940227508545,1.4027780294418335,16.203125,,3.324671983718872,1.388888955116272,15.9375,,3.33870005607605,1.4027780294418335,15.9375,,7928699,23400,3328000
1987-04-02,,1.5618692636489868,0.6233885884284973,6.093748092651367,,3.5982210636138916,1.388888955116272,16.0625,,3.647320032119751,1.3958330154418945,16.25,,3.570164918899536,1.388888955116272,15.953125,,3.633291006088257,1.388888955116272,16.234375,,14488722,70200,2684800
1987-04-03,,1.5892705917358398,0.6358564496040344,6.236016273498535,,3.6613481044769287,1.4166669845581055,16.4375,,3.682389974594116,1.4166669845581055,16.5625,,3.5350940227508545,1.3958330154418945,16.0,,3.5912070274353027,1.3958330154418945,16.015625,,8477595,55800,3383200
1987-04-06,,1.5770927667617798,0.629622220993042,6.3486409187316895,,3.633291006088257,1.4027780294418335,16.734375,,3.696418046951294,1.4166669845581055,16.78125,,3.633291006088257,1.4027780294418335,16.546875,,3.65433406829834,1.4166669845581055,16.671875,,7337032,43200,2780000
1987-04-07,,1.522289752960205,0.6420901417732239,6.342712879180908,,3.507038116455078,1.430556058883667,16.71875,,3.6613481044769287,1.430556058883667,17.125,,3.507038116455078,1.4166669845581055,16.5625,,3.633291006088257,1.4166669845581055,16.71875,,5237682,90000,4916000
1987-04-08,,1.5557806491851807,0.6389732360839844,6.443483829498291,,3.584192991256714,1.423611044883728,16.984375,,3.619262933731079,1.423611044883728,17.078125,,3.5210659503936768,1.423611044883728,16.65625,,3.5350940227508545,1.423611044883728,16.75,,6119837,36000,3791200
1987-04-09,,1.5038199424743652,0.629622220993042,6.390137195587158,,3.4509260654449463,1.4027780294418335,16.84375,,3.5912070274353027,1.423611044883728,17.0625,,3.436897039413452,1.4027780294418335,16.71875,,3.4509260654449463,1.423611044883728,17.015625,,9044313,192600,3885600
1987-04-10,,1.5160448551177979,0.6265048384666443,6.271579742431641,,3.4789819717407227,1.3958330154418945,16.53125,,3.5491230487823486,1.4166669845581055,16.734375,,3.457940101623535,1.3958330154418945,16.4375,,3.471967935562134,1.4027780294418335,16.6875,,6335474,27000,5546400
1987-04-13,,1.4488009214401245,0.6109205484390259,6.093748092651367,,3.324671983718872,1.361111044883728,16.0625,,3.4930100440979004,1.388888955116272,16.671875,,3.3106439113616943,1.361111044883728,16.0625,,3.4930100440979004,1.388888955116272,16.46875,,6465570,41400,3617600
1987-04-14,,1.430462121963501,0.5797510147094727,5.975189208984375,,3.282588005065918,1.2916669845581055,15.75,,3.3106439113616943,1.3472219705581665,15.90625,,3.1984190940856934,1.2916669845581055,15.375,,3.2685599327087402,1.3472219705581665,15.8125,,13080839,108000,8720000
1987-04-15,,1.479366660118103,0.5766341686248779,5.998901844024658,,3.394813060760498,1.2847219705581665,15.8125,,3.4158549308776855,1.305556058883667,15.9375,,3.2966160774230957,1.2847219705581665,15.59375,,3.3667569160461426,1.2916669845581055,15.84375,,10862086,39600,4143200
1987-04-16,,1.5007624626159668,0.5891019701957703,5.904061317443848,,3.443911075592041,1.3125,15.5625,,3.4859960079193115,1.3125,15.875,,3.4228689670562744,1.2777780294418335,15.5625,,3.4509260654449463,1.2847219705581665,15.859375,,9094213,90000,5843200
1987-04-20,,1.491592526435852,0.5828678607940674,5.880347728729248,,3.4228689670562744,1.298611044883728,15.5,,3.471967935562134,1.298611044883728,15.671875,,3.401827096939087,1.298611044883728,15.390625,,3.457940101623535,1.298611044883728,15.671875,,4911552,102600,3388000
1987-04-21,,1.537440538406372,0.5766341686248779,6.111530780792236,,3.5280799865722656,1.2847219705581665,16.109375,,3.5280799865722656,1.298611044883728,16.15625,,3.3527278900146484,1.2777780294418335,15.34375,,3.401827096939087,1.298611044883728,15.40625,,7370892,27000,5469600
1987-04-22,,1.5068753957748413,0.5735177993774414,5.992973804473877,,3.457940101623535,1.2777780294418335,15.796875,,3.514051914215088,1.2777780294418335,16.21875,,3.457940101623535,1.2708330154418945,15.765625,,3.514051914215088,1.2777780294418335,16.125,,7743358,167400,4269600
1987-04-23,,1.461026906967163,0.5797510147094727,6.0344672203063965,,3.3527278900146484,1.2916669845581055,15.90625,,3.436897039413452,1.2916669845581055,16.0,,3.33870005607605,1.2916669845581055,15.703125,,3.436897039413452,1.2916669845581055,15.875,,8873228,9000,3614400
1987-04-24,,1.4243478775024414,0.5659178495407104,5.987046241760254,,3.2685599327087402,1.25,15.78125,,3.3667569160461426,1.2777780294418335,16.0,,3.254530906677246,1.25,15.6875,,3.33870005607605,1.2777780294418335,15.84375,,8828675,203400,2306400
1987-04-27,,1.4274059534072876,0.5627738237380981,6.0344672203063965,,3.275573968887329,1.243056058883667,15.90625,,3.3106439113616943,1.2708330154418945,16.15625,,3.1563339233398438,1.2222219705581665,15.46875,,3.1984190940856934,1.25,15.5625,,13291130,379800,4286400
1987-04-28,,1.4426878690719604,0.5439097285270691,5.880347728729248,,3.3106439113616943,1.201388955116272,15.5,,3.33870005607605,1.2291669845581055,16.0625,,3.2685599327087402,1.201388955116272,15.5,,3.282588005065918,1.2291669845581055,15.921875,,7165947,48600,4122400
1987-04-29,,1.451857566833496,0.5156136751174927,5.93962287902832,,3.331686019897461,1.138888955116272,15.65625,,3.387799024581909,1.201388955116272,15.78125,,3.317657947540283,1.138888955116272,15.5625,,3.324671983718872,1.201388955116272,15.75,,6914667,392400,3048000
1987-04-30,,1.461026906967163,0.5219019055366516,6.058183670043945,,3.3527278900146484,1.1527780294418335,15.96875,,3.4228689670562744,1.1597219705581665,16.046875,,3.324671983718872,1.138888955116272,15.625,,3.3457140922546387,1.138888955116272,15.625,,5606583,300600,2763200
1987-05-01,,1.4457443952560425,0.5439097285270691,5.963336944580078,,3.317657947540283,1.201388955116272,15.71875,,3.387799024581909,1.201388955116272,16.0625,,3.289602041244507,1.138888955116272,15.65625,,3.324671983718872,1.1527780294418335,15.9375,,4943630,124200,2014400
1987-05-04,,1.4549142122268677,0.5596296191215515,6.064106464385986,,3.33870005607605,1.236111044883728,15.984375,,3.394813060760498,1.236111044883728,15.984375,,3.289602041244507,1.2152780294418335,15.578125,,3.3036301136016846,1.2152780294418335,15.71875,,5676086,147600,2215200
1987-05-05,,1.5007624626159668,0.5533416867256165,6.271579742431641,,3.443911075592041,1.2222219705581665,16.53125,,3.443911075592041,1.2291669845581055,16.59375,,3.3457140922546387,1.2222219705581665,15.984375,,3.3527278900146484,1.2291669845581055,16.03125,,13089749,72000,3122400
1987-05-06,,1.5129889249801636,0.5596296191215515,6.200448036193848,,3.471967935562134,1.236111044883728,16.34375,,3.471967935562134,1.236111044883728,16.640625,,3.3807849884033203,1.201388955116272,16.03125,,3.443911075592041,1.2222219705581665,16.46875,,7718408,117000,2307200
1987-05-07,,1.4946491718292236,0.5596296191215515,6.105604648590088,,3.4298830032348633,1.236111044883728,16.09375,,3.471967935562134,1.236111044883728,16.453125,,3.3807849884033203,1.236111044883728,16.09375,,3.436897039413452,1.236111044883728,16.3125,,5973702,0,2655200
1987-05-08,,1.4671403169631958,0.5659178495407104,6.052252292633057,,3.3667569160461426,1.25,15.953125,,3.436897039413452,1.25,16.171875,,3.324671983718872,1.25,15.90625,,3.4298830032348633,1.25,16.15625,,5203821,14400,3173600
1987-05-11,,1.4732537269592285,0.5596296191215515,5.975189208984375,,3.3807849884033203,1.236111044883728,15.75,,3.436897039413452,1.243056058883667,16.40625,,3.317657947540283,1.236111044883728,15.75,,3.4228689670562744,1.243056058883667,16.03125,,9010452,16200,3652000
1987-05-12,,1.4732537269592285,0.5439097285270691,6.117461204528809,,3.3807849884033203,1.201388955116272,16.125,,3.387799024581909,1.2152780294418335,16.125,,3.324671983718872,1.201388955116272,15.71875,,3.3527278900146484,1.2152780294418335,15.8125,,7128522,41400,2753600
1987-05-13,,1.4732537269592285,0.534477949142456,6.153025150299072,,3.3807849884033203,1.180556058883667,16.21875,,3.3807849884033203,1.1875,16.234375,,3.331686019897461,1.180556058883667,15.96875,,3.3737709522247314,1.1875,16.15625,,9242129,41400,1737600
1987-05-14,,1.5129889249801636,0.5407657623291016,6.070036888122559,,3.471967935562134,1.194443941116333,16.0,,3.471967935562134,1.194443941116333,16.265625,,3.33870005607605,1.1875,15.9375,,3.394813060760498,1.1875,16.21875,,18177732,478800,1922400
1987-05-15,,1.4396315813064575,0.5407657623291016,5.93962287902832,,3.3036301136016846,1.194443941116333,15.65625,,3.4228689670562744,1.201388955116272,16.109375,,3.289602041244507,1.1875,15.59375,,3.4088408946990967,1.194443941116333,15.96875,,19068798,37800,4547200
1987-05-18,,1.430462121963501,0.5439097285270691,5.972112655639648,,3.282588005065918,1.201388955116272,15.625,,3.3036301136016846,1.201388955116272,15.78125,,3.205432891845703,1.194443941116333,15.390625,,3.289602041244507,1.194443941116333,15.546875,,8516802,27000,3668000
1987-05-19,,1.326539397239685,0.5376219749450684,5.9482245445251465,,3.0441091060638428,1.1875,15.5625,,3.275573968887329,1.2083330154418945,15.71875,,3.023066997528076,1.1875,15.328125,,3.275573968887329,1.201388955116272,15.71875,,14451297,403200,2652800
1987-05-20,,1.3632183074951172,0.5281900763511658,6.067669868469238,,3.1282780170440674,1.1666669845581055,15.875,,3.1563339233398438,1.1875,15.96875,,3.0581369400024414,1.1597219705581665,15.375,,3.0861940383911133,1.1875,15.546875,,28514090,336600,3995200
1987-05-21,,1.3876703977584839,0.5313336849212646,6.031834602355957,,3.1843910217285156,1.173611044883728,15.78125,,3.219460964202881,1.173611044883728,16.0,,3.1563339233398438,1.1666669845581055,15.640625,,3.1843910217285156,1.1666669845581055,16.0,,7269311,25200,2488800
1987-05-22,,1.4243478775024414,0.5281900763511658,6.061694145202637,,3.2685599327087402,1.1666669845581055,15.859375,,3.2685599327087402,1.173611044883728,15.9375,,3.1984190940856934,1.1666669845581055,15.78125,,3.1984190940856934,1.173611044883728,15.90625,,11466228,136800,1812800
1987-05-26,,1.479366660118103,0.5281900763511658,6.175166130065918,,3.394813060760498,1.1666669845581055,16.15625,,3.401827096939087,1.1666669845581055,16.21875,,3.2685599327087402,1.1597219705581665,15.9375,,3.282588005065918,1.1666669845581055,16.09375,,10348832,151200,2688000
1987-05-27,,1.476309895515442,0.5250455737113953,6.187110424041748,,3.387799024581909,1.1597219705581665,16.1875,,3.401827096939087,1.1666669845581055,16.25,,3.3527278900146484,1.1597219705581665,16.0625,,3.3807849884033203,1.1666669845581055,16.09375,,10821097,187200,2571200
