,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,ABBV,ABT,AOS,MMM,ABBV,ABT,AOS,MMM,ABBV,ABT,AOS,MMM,ABBV,ABT,AOS,MMM,ABBV,ABT,AOS,MMM,ABBV,ABT,AOS,MMM
Date,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-02,,1.1520441770553589,0.5284368395805359,5.550052165985107,,2.665349006652832,1.1875,14.734375,,2.672363042831421,1.1875,14.859375,,2.5741660594940186,1.173611044883728,14.671875,,2.5741660594940186,1.173611044883728,14.671875,,4059694,46800,1724000
1987-01-05,,1.179329752922058,0.5531589984893799,5.60890531539917,,2.728476047515869,1.243056058883667,14.890625,,2.735490083694458,1.243056058883667,15.0625,,2.6934049129486084,1.201388955116272,14.859375,,2.6934049129486084,1.201388955116272,15.0,,7490295,66600,3853600
1987-01-06,,1.1702343225479126,0.5500686764717102,5.632446765899658,,2.707432985305786,1.236111044883728,14.953125,,2.7425038814544678,1.243056058883667,15.03125,,2.707432985305786,1.2222219705581665,14.875,,2.728476047515869,1.243056058883667,14.96875,,8983720,523800,3720000
1987-01-07,,1.1823616027832031,0.5531589984893799,5.667762756347656,,2.735490083694458,1.243056058883667,15.046875,,2.7425038814544678,1.243056058883667,15.078125,,2.707432985305786,1.2222219705581665,14.8125,,2.7214620113372803,1.236111044883728,14.90625,,6308742,52200,3688800
1987-01-08,,1.2035833597183228,0.5500686764717102,5.655990123748779,,2.784588098526001,1.236111044883728,15.015625,,2.805630922317505,1.25,15.0625,,2.728476047515869,1.2222219705581665,14.875,,2.7425038814544678,1.243056058883667,15.0,,11330786,144000,4076800
1987-01-09,,1.1995642185211182,0.5469784140586853,5.626561641693115,,2.7635459899902344,1.2291669845581055,14.9375,,2.777574062347412,1.236111044883728,15.125,,2.735490083694458,1.2083330154418945,14.90625,,2.7635459899902344,1.236111044883728,14.953125,,8757390,108000,3104800
1987-01-12,,1.2330549955368042,0.5778807997703552,5.597134113311768,,2.840701103210449,1.298611044883728,14.859375,,2.847714900970459,1.298611044883728,14.984375,,2.7635459899902344,1.236111044883728,14.828125,,2.7635459899902344,1.236111044883728,14.90625,,9195794,145800,2748800
1987-01-13,,1.2391436100006104,0.6118739247322083,5.544164657592773,,2.854728937149048,1.375,14.71875,,2.854728937149048,1.388888955116272,14.859375,,2.8196589946746826,1.3125,14.6875,,2.847714900970459,1.3125,14.78125,,6285575,102600,2048800
1987-01-14,,1.2330549955368042,0.6026034355163574,5.655990123748779,,2.840701103210449,1.3541669845581055,15.015625,,2.8617429733276367,1.375,15.03125,,2.8196589946746826,1.3541669845581055,14.703125,,2.8336870670318604,1.375,14.734375,,7215847,43200,3029600
1987-01-15,,1.2452332973480225,0.5871514678001404,5.86198616027832,,2.8687570095062256,1.319443941116333,15.5625,,2.9038279056549072,1.3541669845581055,15.6875,,2.840701103210449,1.319443941116333,15.15625,,2.8617429733276367,1.3541669845581055,15.25,,9090648,117000,4736000
1987-01-16,,1.2543672323226929,0.5747908353805542,5.9090681076049805,,2.889799118041992,1.2916669845581055,15.6875,,2.9459118843078613,1.319443941116333,15.84375,,2.8757710456848145,1.2916669845581055,15.4375,,2.917855978012085,1.319443941116333,15.609375,,9236783,145800,7068800
1987-01-19,,1.2695896625518799,0.5717005133628845,6.050320625305176,,2.924870014190674,1.2847219705581665,16.0625,,2.9388980865478516,1.305556058883667,16.1875,,2.840701103210449,1.2847219705581665,15.53125,,2.8757710456848145,1.2916669845581055,15.8125,,7693458,118800,2957600
1987-01-20,,1.275679111480713,0.5624297857284546,6.138603687286377,,2.9388980865478516,1.263888955116272,16.296875,,2.973968029022217,1.298611044883728,16.4375,,2.9318840503692627,1.263888955116272,16.015625,,2.9459118843078613,1.2847219705581665,16.03125,,10363090,75600,3101600
1987-01-21,,1.2665455341339111,0.5747908353805542,6.091517448425293,,2.917855978012085,1.2916669845581055,16.171875,,2.9950110912323,1.298611044883728,16.53125,,2.917855978012085,1.2708330154418945,16.140625,,2.9388980865478516,1.2708330154418945,16.140625,,9347275,115200,3151200
1987-01-22,,1.2848124504089355,0.5809713006019592,6.309281349182129,,2.959939956665039,1.305556058883667,16.75,,2.966953992843628,1.305556058883667,16.78125,,2.8827850818634033,1.2916669845581055,16.15625,,2.9318840503692627,1.2916669845581055,16.1875,,9256386,23400,3047200
1987-01-23,,1.2939462661743164,0.5778807997703552,5.967921733856201,,2.9809820652008057,1.298611044883728,15.84375,,3.079179048538208,1.319443941116333,17.46875,,2.8757710456848145,1.298611044883728,15.75,,3.0020248889923096,1.305556058883667,16.8125,,20494502,68400,8240000
1987-01-26,,1.2878574132919312,0.5704004168510437,6.0620927810668945,,2.966953992843628,1.2708330154418945,16.09375,,2.9809820652008057,1.2847219705581665,16.34375,,2.917855978012085,1.2708330154418945,15.9375,,2.9318840503692627,1.2847219705581665,15.9375,,6044987,57600,5594400
1987-01-27,,1.318302869796753,0.5766341686248779,6.1798014640808105,,3.037095069885254,1.2847219705581665,16.40625,,3.0441091060638428,1.2916669845581055,16.46875,,2.9879961013793945,1.2847219705581665,16.1875,,2.9879961013793945,1.2847219705581665,16.21875,,7994638,25200,4955200
1987-01-28,,1.3335262537002563,0.5828678607940674,6.203341960906982,,3.072165012359619,1.298611044883728,16.46875,,3.072165012359619,1.298611044883728,16.515625,,2.9879961013793945,1.263888955116272,16.375,,3.0511229038238525,1.2847219705581665,16.46875,,8853625,736200,3920800
1987-01-29,,1.3304816484451294,0.5797510147094727,6.132715225219727,,3.0651509761810303,1.2916669845581055,16.28125,,3.100222110748291,1.305556058883667,16.734375,,3.0511229038238525,1.2916669845581055,16.21875,,3.0861940383911133,1.298611044883728,16.734375,,10061909,77400,3674400
1987-01-30,,1.3243913650512695,0.5922186970710754,6.091517448425293,,3.0511229038238525,1.319443941116333,16.171875,,3.072165012359619,1.319443941116333,16.25,,3.0441091060638428,1.2916669845581055,15.953125,,3.072165012359619,1.2916669845581055,16.25,,6244586,34200,2878400
1987-02-02,,1.3335262537002563,0.5891019701957703,6.132715225219727,,3.072165012359619,1.3125,16.28125,,3.093208074569702,1.3125,16.4375,,3.0441091060638428,1.305556058883667,16.03125,,3.0511229038238525,1.3125,16.109375,,6759621,18000,2248000
1987-02-03,,1.3304816484451294,0.5953361988067627,6.085633754730225,,3.0651509761810303,1.326388955116272,16.15625,,3.1212639808654785,1.326388955116272,16.484375,,3.0581369400024414,1.298611044883728,16.09375,,3.093208074569702,1.3125,16.421875,,7732665,232200,2954400
