,stonk,correlation
0,CSCO,0.8967998996839507
1,BA,0.91713005542004
2,TER,0.9135030106219596
3,MO,0.3459369661250968
4,C,-0.32161841012147896
5,HUM,0.9684170683288511
6,STZ,0.9517302864610135
7,CPRT,0.8652884729205967
8,MET,0.2603584423033592
9,MRK,0.9415081390567884
10,PG,0.9084745202919529
11,CAT,0.8312961995429821
12,MCD,0.917928429921381
13,INTC,0.9461611924311871
14,EXR,0.957957403783147
15,TMO,0.9651133271442578
16,MMM,0.9173741917918871
17,KO,0.8875123089261036
18,MSFT,0.9099165457238048
19,EW,0.9185187937271566
20,SHW,0.9735644769503679
21,HPQ,-0.5420560389860758
22,MLM,0.9196728809370504
23,NVDA,0.8612910371061152
24,HD,0.9787391141574245
25,VLO,0.8597275239954003
26,CMS,0.9689478979330327
27,AXP,0.938018856067219
28,CME,0.8835250457186031
29,CVX,0.6703883783688871
30,NKE,0.9581966951195324
31,IBM,0.2810164375427746
32,GS,0.722582936662627
33,RE,0.9661981114988574
34,DIS,0.9520224384329043
35,FE,-0.3723509753683627
36,JPM,0.9655590923834145
37,ILMN,0.9476475130059149
38,VNO,-0.07794294461336017
39,CINF,0.9347778013508783
40,SRE,0.957768575275127
41,VZ,0.8946914117959354
42,JKHY,0.9689049416880517
43,HBAN,0.12184080287835272
44,UNH,0.965219502964177
45,HON,0.9877743209644815
46,AAPL,0.9380910629135883
47,STE,0.9461291369643011
48,WMT,0.8947532924033921
49,WAB,0.8333138828172998
50,CI,0.9661927351335022
51,JNJ,0.970385708177764
52,CRM,0.956697868138165
53,NWL,0.373842032527083
