i,stonk,correlation
0,ERF,-0.5169155437710291
1,IFN,-0.19688989003722676
2,MQT,0.2842157172181172
3,BA,0.8773745951539591
4,HVT,0.6801315138875975
5,MKL,0.9268174930039258
6,TER,0.8267766667390255
7,TIF,0.8599851121680172
8,DUC,-0.7731861204653006
9,MO,0.43497964635084435
10,NMY,-0.38426430200954365
11,REV,0.42889960460752624
12,C,-0.22065105793755863
13,VGM,-0.2531228777585373
14,HUM,0.8864299852974328
15,DAR,0.7219504967096609
16,SNP,0.4562278526147177
17,STZ,0.8899295586745901
18,SUI,0.8679421779823845
19,SCD,0.2501301306543782
20,JOE,-0.4140433733393699
21,MDR,-0.18590431751750347
22,LM,-0.07510515624504548
23,STL,0.5046803485782886
24,NE,-0.6645203630228829
25,GGB,-0.4649687948187993
26,NBR,-0.5301691628813615
27,MET,0.47637425136815514
28,MDP,0.562342745290655
29,JOF,0.21199743015068034
30,SAN,-0.658405964544155
31,MRK,0.9240192878914057
32,CRS,0.4194334865363366
33,PG,0.8547802194855261
34,CAT,0.8373443942284199
35,CLS,0.26721265279017853
36,MCD,0.825742396472393
37,RYN,0.04927364542705588
38,EXP,0.891584376216418
39,USPH,0.85145434239347
40,EXR,0.8882632421517395
41,DSU,-0.20951718749660309
42,DKS,0.5018312335841002
43,TMO,0.8750060516512498
44,MMM,0.8978594064295717
45,MLI,0.8159171188385657
46,HHS,-0.552213449410685
47,KO,0.8462324343187837
48,NSL,-0.11936740333374712
49,UGI,0.8809561396592367
50,NEA,-0.020982596159946753
51,EW,0.8005040001872608
52,CMP,0.20698052698689406
53,SHW,0.8858832166062545
54,HPQ,-0.4113250056967182
55,HPF,0.35703136914953065
56,MLM,0.894025284296684
57,RWT,-0.2343098549890671
58,USM,-0.10030023522785461
59,RLI,0.8601996855820172
60,WRI,0.2972914224648623
61,NQP,0.009668800351207343
62,HD,0.8911196246920238
63,VLO,0.8920369367578767
64,CMS,0.8898380051186481
65,AXP,0.9405679102049171
66,VCV,-0.06920206673185203
67,MTH,0.4149457585067267
68,CVX,0.7156604433354262
69,PCG,-0.02469815860122253
70,GTY,0.32883997555538863
71,PNM,0.8667749206283156
72,NKE,0.8685448943773358
73,MUA,0.606290186089503
74,SHO,0.1665532296687618
75,SFE,0.22398859600933238
76,HEI,0.8165846061369486
77,IBM,0.3172081482804176
78,UGP,0.3684241473582524
79,CRD.A,0.729295379017438
80,PAA,0.06038229499523329
81,IO,-0.43436889690100766
82,MXE,-0.0085290042933504
83,GS,0.8151600729378826
84,RE,0.9258946205536496
85,JFR,-0.0011391150068444705
86,DDT,0.6028726553127695
87,SGU,0.8576035368287505
88,DIS,0.9040680143961876
89,SJR,0.4377263032501793
90,KMT,0.49335711300334967
91,PTR,-0.37532195481749053
92,FE,-0.26750402250758354
93,JPM,0.9139320162647528
94,FR,0.46723810263654864
95,SJW,0.8528565338432234
96,IAG,-0.5898407285251838
97,CUK,0.5240579126382174
98,MUS,0.03764985917077619
99,CLI,-0.45372612650474553
100,HQH,0.6506392683455468
101,VNO,0.1409480185364622
102,SRE,0.9203438671634976
103,NXP,0.24191151782483106
104,PEI,-0.22196269157541523
105,TPL,0.824741589170322
106,FMX,0.7030941569617312
107,VZ,0.8754678243607417
108,PFD,0.3758088311115628
109,GFI,-0.6271537608999823
110,LAD,0.8875580508681712
111,EPD,0.6690170736655071
112,NNI,0.8480172814156053
113,XEC,0.5060968347442694
114,TPX,0.6980768159562047
115,CIA,0.11697252794559583
116,SNN,0.9305874892531472
117,UTF,0.7471077529843266
118,UNH,0.8769718669659483
119,GSK,0.023850401078697406
120,OFG,0.24099854983694088
121,HON,0.9419821008603246
122,MHN,0.009233854193087927
123,MHO,0.2653128679111881
124,HYB,0.0011448856101860423
125,STE,0.8419121448631703
126,WMT,0.8026791974758669
127,LXU,-0.1627097740112673
128,PKE,-0.40410264995583833
129,HEI.A,0.8929181463109475
130,WAB,0.8243357662298775
131,CI,0.912865808388563
132,CIF,-0.06231724447571371
133,THO,0.80847014065477
134,JNJ,0.9090709082996061
135,CRM,0.8621412355521585
136,NX,-0.06145322824306156
137,NWL,0.4737477596635824
