,stonk,correlation
0,CSCO,0.9090610032060703
1,BA,0.9414791724512843
2,MRK,0.933422419285787
3,PG,0.9020952186851957
4,CAT,0.8625548239523287
5,MCD,0.9375606318130442
6,INTC,0.9462607714792552
7,MMM,0.9153943828416743
8,KO,0.8932627469030636
9,MSFT,0.9121184609557516
10,HD,0.9752491119439847
11,AXP,0.9380036514848449
12,CVX,0.6992536081075644
13,NKE,0.9549148912319658
14,IBM,0.3017294467525716
15,GS,0.7169761531281175
16,DIS,0.939732073914566
17,JPM,0.9742660691459444
18,VZ,0.8914824942381979
19,UNH,0.9684674815627665
20,HON,0.9897752800266646
21,AAPL,0.9395341851023739
22,WMT,0.9032754966455988
23,JNJ,0.9635780098215916
24,CRM,0.9636768665026716
